osm_id,fclass,name,ref,oneway,bridge,tunnel,COD_RIP,COD_REG,COD_PROV,PRO_COM,COMUNE,LOC2011,ArcoMetri,osm_id_1,class_1,name_1,X_Pos,Y_Pos
3188829,secondary,,,B,F,F,4,18,78,78044,Corigliano Calabro,7804440000,2686.63,2917660563,crossing,,1139434.766,4417010.521
1234567,secondary,,,B,F,F,4,18,78,78044,Corigliano Calabro,7804440000,2686.63,2917660563,crossing,,1139434.766,4417010.521
